gc 132 @5.678s 2%: 0.008+0.11+0.019 ms clock, 0.034+0/0.081/0.16+0.078 ms cpu, 9->9->0 MB, 17 MB goal, 4 P (forced)
gc 133 @5.718s 2%: 0.010+5.2+0.10 ms clock, 0.041+0.13/5.0/4.6+0.42 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 134 @5.770s 2%: 0.010+8.9+0.022 ms clock, 0.042+0.23/8.8/16+0.089 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 135 @5.797s 2%: 0.026+0.087+0.028 ms clock, 0.10+0/0.070/0.17+0.11 ms cpu, 9->9->0 MB, 16 MB goal, 4 P (forced)
gc 136 @5.836s 2%: 0.011+3.6+0.084 ms clock, 0.046+0.21/3.6/6.7+0.33 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 137 @5.898s 2%: 0.011+8.4+0.027 ms clock, 0.047+0.22/8.4/11+0.10 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 138 @5.928s 2%: 0.016+0.29+0.022 ms clock, 0.067+0/0.21/0.62+0.088 ms cpu, 9->9->0 MB, 16 MB goal, 4 P (forced)
gc 139 @5.975s 2%: 0.011+4.2+0.035 ms clock, 0.046+0.24/4.2/4.9+0.14 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 140 @6.037s 2%: 0.015+9.0+0.039 ms clock, 0.062+0.24/8.9/14+0.15 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 141 @6.069s 2%: 0.031+0.18+0.051 ms clock, 0.12+0/0.12/0.22+0.20 ms cpu, 9->9->0 MB, 16 MB goal, 4 P (forced)
gc 142 @6.114s 2%: 0.024+6.1+0.047 ms clock, 0.096+0.21/6.1/4.0+0.19 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 143 @6.169s 2%: 0.011+12+0.061 ms clock, 0.046+0.83/12/4.2+0.24 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 144 @6.196s 2%: 0.024+0.090+0.048 ms clock, 0.097+0/0.065/0.17+0.19 ms cpu, 9->9->0 MB, 17 MB goal, 4 P (forced)
gc 145 @6.235s 2%: 0.012+5.0+0.024 ms clock, 0.050+0.14/4.9/4.5+0.097 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 146 @6.286s 2%: 0.010+8.1+0.017 ms clock, 0.043+0.24/8.1/15+0.068 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
  100000	       118 ns/op	       8 B/op	       0 allocs/op
gc 147 @6.315s 2%: 0.005+0.12+0.043 ms clock, 0.021+0/0.093/0.083+0.17 ms cpu, 9->9->0 MB, 16 MB goal, 4 P (forced)
gc 148 @6.353s 2%: 0.011+6.2+0.028 ms clock, 0.046+0.13/3.9/3.8+0.11 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 149 @6.411s 2%: 0.009+8.5+0.066 ms clock, 0.039+0.20/8.5/15+0.26 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
